Feature_1,Feature_2,Correlation
marital_SEPARATED,gender,0.033605676130229474
marital_SINGLE,gender,-0.070222822500652
marital_WIDOWED,gender,0.2325578822998068
icu_duration_hour,gender,-0.014295465592755996
icu_times,gender,-0.020922323554973553
icu_times_total,gender,-0.030483367447560767
icu_times_sepsis,gender,-0.006202411334549095
icu_times_total_sepsis,gender,-0.006202411334549095
Comorbidity,gender,0.005073066240454863
glu_min,gender,-0.0303969929059871
glu_max,gender,-0.025759952487182467
glu_avg,gender,-0.036438272429580955
figglu_min,gender,0.06315057236014511
figglu_max,gender,-0.03841281919712303
figglu_avg,gender,-0.0162419182610288
pot_min,gender,-0.09170722309069024
pot_max,gender,-0.036355420910431126
pot_avg,gender,-0.07585848154080134
sod_min,gender,0.11024970450875056
sod_max,gender,0.05356517950840907
sod_avg,gender,0.09778210839334565
hem_min,gender,-0.025354773089481735
hem_max,gender,-0.04494616996830791
hem_avg,gender,-0.031175637554808743
chl_min,gender,0.10555841430360847
chl_max,gender,0.08438704692201748
chl_avg,gender,0.110106312369474
bun_min,gender,-0.07159636578819566
bun_max,gender,-0.0850920319196066
bun_avg,gender,-0.08367008247170551
cre_min,gender,-0.033393676303413326
cre_max,gender,-0.02558800277831243
cre_avg,gender,-0.03390513733967165
hemo_min,gender,-0.05179537868256981
hemo_max,gender,-0.0588909888477518
hemo_avg,gender,-0.061861609522443704
car_min,gender,-0.0195961994152635
car_max,gender,-0.04958688509187999
car_avg,gender,-0.056662222476832114
rbc_min,gender,-0.04963855903703336
rbc_max,gender,-0.06930186668455302
rbc_avg,gender,-0.06321679674615949
pla_min,gender,0.12363656189798239
pla_max,gender,0.04006751193275918
pla_avg,gender,0.09546853236125946
wbc_min,gender,0.043912947052845326
wbc_max,gender,0.020232929735245844
wbc_avg,gender,0.03922377548574266
hea_min,gender,-0.00203595779636441
hea_max,gender,-0.02348980805675354
hea_avg,gender,-0.0012617869360039096
mag_min,gender,-0.003917949360353681
mag_max,gender,0.058311281408105035
mag_avg,gender,0.01975870562191846
res_min,gender,0.014960953081146108
res_max,gender,-0.047003911366829784
res_avg,gender,-0.04855910549994596
spo_min,gender,-9.390740170779193e-05
spo_max,gender,-0.0292183085742002
spo_avg,gender,-0.01777899577887471
spo_alarms,gender,0.0232559318521635
temp_min,gender,-0.06253790004899124
temp_max,gender,-0.12584443100530207
temp_avg,gender,-0.0995345346827279
hear_mode_1st Deg AV Block,gender,0.03809611988600625
hear_mode_A Paced,gender,-0.0443542723221825
hear_mode_AV Paced,gender,0.01549112451129964
hear_mode_Atrial Fib,gender,-0.07023000822337691
hear_mode_Atrial Flutter,gender,-0.029748633416479597
hear_mode_Junctional,gender,0.034638239478182495
hear_mode_MultFocalAtrTach,gender,0.03463823947818248
hear_mode_Normal Sinus,gender,0.03463912103895851
hear_mode_Parox Atr Tachy,gender,0.03463823947818239
hear_mode_Sinus Brady,gender,0.07044804639428581
hear_mode_Sinus Tachy,gender,0.03412898254049544
hear_mode_V Paced,gender,-0.10514789752770018
hear_last_1st Deg AV Block,gender,0.016005162316888154
hear_last_2nd AVB Mobitz 2,gender,0.034638239478182425
hear_last_A Paced,gender,-0.05435221482942365
hear_last_AV Paced,gender,0.03360567613022945
hear_last_Asystole,gender,-0.027562877729926716
hear_last_Atrial Fib,gender,-0.03777471852438704
hear_last_Atrial Flutter,gender,-0.05818425499825959
hear_last_Comp Heart Block,gender,0.002329105624224201
hear_last_Idioventricular,gender,0.021922887259965416
hear_last_Junctional,gender,0.031054373148088406
hear_last_MultFocalAtrTach,gender,0.03463823947818248
hear_last_Normal Sinus,gender,0.024839761907877445
hear_last_Other/Remarks,gender,-0.018744701737204016
hear_last_Sinus Brady,gender,0.07036765509085322
hear_last_Sinus Tachy,gender,0.00852951938300747
hear_last_Supravent Tachy,gender,0.03463823947818247
hear_last_V Paced,gender,-0.08731637148682532
died_immediately,gender,-0.022184450353248515
age,ethnicity,0.08346222603060192
gender,ethnicity,-0.010926329269217772
ethnicity,ethnicity,1.0
marital_DIVORCED,ethnicity,-0.030672237893967058
marital_MARRIED,ethnicity,0.08469236207481004
marital_SEPARATED,ethnicity,-0.07190916549244032
marital_SINGLE,ethnicity,-0.10219549174098878
marital_WIDOWED,ethnicity,0.044517602275912935
icu_duration_hour,ethnicity,0.024635757853260526
icu_times,ethnicity,0.042833746458012835
icu_times_total,ethnicity,0.04423429076572965
icu_times_sepsis,ethnicity,0.003076213693541531
icu_times_total_sepsis,ethnicity,0.003076213693541531
Comorbidity,ethnicity,0.06405758470292139
glu_min,ethnicity,0.048847405580129274
glu_max,ethnicity,-0.023369969322676206
glu_avg,ethnicity,0.01211380523779795
figglu_min,ethnicity,0.02022277956903792
figglu_max,ethnicity,-0.05003327739852595
figglu_avg,ethnicity,-0.0395347228502543
pot_min,ethnicity,-0.04517251070299988
pot_max,ethnicity,-0.03566425929713291
pot_avg,ethnicity,-0.06651604335382053
sod_min,ethnicity,-0.0023421711459154174
sod_max,ethnicity,0.013659046090020855
sod_avg,ethnicity,0.009553886191493416
hem_min,ethnicity,-0.029688686075876453
hem_max,ethnicity,-0.026151192340677917
hem_avg,ethnicity,-0.03629755915128276
chl_min,ethnicity,0.025744959275684758
chl_max,ethnicity,0.04500713377410166
chl_avg,ethnicity,0.045392531636137046
bun_min,ethnicity,0.032134315252305014
bun_max,ethnicity,0.015152855770267263
bun_avg,ethnicity,0.01989119016624085
cre_min,ethnicity,-0.019654605601057338
cre_max,ethnicity,-0.02392146582372428
cre_avg,ethnicity,-0.035876344102880216
hemo_min,ethnicity,0.0021286903316532486
hemo_max,ethnicity,-0.0110876789872491
hemo_avg,ethnicity,-0.009820878916096567
car_min,ethnicity,0.027896161018275346
car_max,ethnicity,0.05259747272916939
car_avg,ethnicity,0.04822358395559717
rbc_min,ethnicity,-0.02465133534890286
rbc_max,ethnicity,-0.024889452396852724
rbc_avg,ethnicity,-0.03833038441050511
pla_min,ethnicity,0.012379201417812123
pla_max,ethnicity,0.0016454442404085304
pla_avg,ethnicity,0.012764109552339071
wbc_min,ethnicity,0.01622640979361392
wbc_max,ethnicity,0.03037832425903125
wbc_avg,ethnicity,0.020448173717369126
hea_min,ethnicity,0.018440342980252
hea_max,ethnicity,-0.017507571100747618
hea_avg,ethnicity,-0.0530861290816371
mag_min,ethnicity,0.027406387867038154
mag_max,ethnicity,0.050793883976734025
mag_avg,ethnicity,0.028454050714958802
res_min,ethnicity,0.056217657243570855
res_max,ethnicity,0.03566797545009907
res_avg,ethnicity,0.02654489096183728
spo_min,ethnicity,0.08863723046394831
spo_max,ethnicity,0.0755802181542977
spo_avg,ethnicity,0.09780263274726217
spo_alarms,ethnicity,-0.08058581203920959
temp_min,ethnicity,0.03832804254691073
temp_max,ethnicity,-0.000403853278946982
temp_avg,ethnicity,0.01051242007975039
hear_mode_1st Deg AV Block,ethnicity,-0.03870326483368144
hear_mode_A Paced,ethnicity,0.028438484699580654
hear_mode_AV Paced,ethnicity,0.06702279299014385
hear_mode_Atrial Fib,ethnicity,0.029379151009712993
hear_mode_Atrial Flutter,ethnicity,-0.03398102458962954
hear_mode_Junctional,ethnicity,0.020098125450042786
hear_mode_MultFocalAtrTach,ethnicity,-0.05402376120971491
hear_mode_Normal Sinus,ethnicity,0.034300502727841055
hear_mode_Parox Atr Tachy,ethnicity,0.02009812545004277
hear_mode_Sinus Brady,ethnicity,-0.00983027917780556
hear_mode_Sinus Tachy,ethnicity,-0.08915399159523772
hear_mode_V Paced,ethnicity,0.03256021035740635
hear_last_1st Deg AV Block,ethnicity,-0.013887958730305688
hear_last_2nd AVB Mobitz 2,ethnicity,-0.054023761209714936
hear_last_A Paced,ethnicity,0.03484883301854665
hear_last_AV Paced,ethnicity,0.07294156924170753
hear_last_Asystole,ethnicity,-0.02565256232850979
hear_last_Atrial Fib,ethnicity,0.04400235594215202
hear_last_Atrial Flutter,ethnicity,0.025241556329628056
hear_last_Comp Heart Block,ethnicity,0.028438484699580675
hear_last_Idioventricular,ethnicity,-0.0508328310963867
hear_last_Junctional,ethnicity,-0.041663495408533445
hear_last_MultFocalAtrTach,ethnicity,-0.05402376120971491
hear_last_Normal Sinus,ethnicity,0.025060024674497958
hear_last_Other/Remarks,ethnicity,-0.04816146733126679
hear_last_Sinus Brady,ethnicity,-0.05315449542954007
hear_last_Sinus Tachy,ethnicity,-0.03525124994365452
hear_last_Supravent Tachy,ethnicity,0.02009812545004275
hear_last_V Paced,ethnicity,0.00777763258100208
died_immediately,ethnicity,-0.0535985805628428
age,marital_DIVORCED,-0.0650775964764184
gender,marital_DIVORCED,0.07811607270420555
ethnicity,marital_DIVORCED,-0.030672237893967058
marital_DIVORCED,marital_DIVORCED,1.0
marital_MARRIED,marital_DIVORCED,-0.247145429003317
marital_SEPARATED,marital_DIVORCED,-0.029236930815161013
marital_SINGLE,marital_DIVORCED,-0.13890469190041707
marital_WIDOWED,marital_DIVORCED,-0.11456057684825051
icu_duration_hour,marital_DIVORCED,-0.0021219181789047586
icu_times,marital_DIVORCED,0.08316645077363258
icu_times_total,marital_DIVORCED,0.08706025148557264
icu_times_sepsis,marital_DIVORCED,0.044519056436017966
icu_times_total_sepsis,marital_DIVORCED,0.044519056436017966
Comorbidity,marital_DIVORCED,0.050289143506019755
glu_min,marital_DIVORCED,0.00902619889145549
glu_max,marital_DIVORCED,0.018589868425317145
glu_avg,marital_DIVORCED,-0.013453364879069006
figglu_min,marital_DIVORCED,-0.020706715061483253
figglu_max,marital_DIVORCED,0.0018941810760398025
figglu_avg,marital_DIVORCED,-0.008794680908202004
pot_min,marital_DIVORCED,0.02261271276063295
pot_max,marital_DIVORCED,-0.05816844632575285
pot_avg,marital_DIVORCED,-0.028272523409033128
sod_min,marital_DIVORCED,-0.0021760601226726507
sod_max,marital_DIVORCED,-0.03854620901471506
sod_avg,marital_DIVORCED,-0.019701426218856826
hem_min,marital_DIVORCED,-0.015194467322771538
hem_max,marital_DIVORCED,-0.09781952351596611
hem_avg,marital_DIVORCED,-0.07167199543012281
chl_min,marital_DIVORCED,0.00916722247902793
chl_max,marital_DIVORCED,-0.029893277225949623
chl_avg,marital_DIVORCED,-0.010248834635782645
bun_min,marital_DIVORCED,-0.016173820898200724
bun_max,marital_DIVORCED,-0.019595263971393474
bun_avg,marital_DIVORCED,-0.024372755601586606
cre_min,marital_DIVORCED,-0.01550250529834826
cre_max,marital_DIVORCED,-0.008020673960645422
cre_avg,marital_DIVORCED,-0.015529929776545813
hemo_min,marital_DIVORCED,-0.04742963675581266
hemo_max,marital_DIVORCED,-0.09260899456065544
hemo_avg,marital_DIVORCED,-0.08331617906425295
car_min,marital_DIVORCED,0.046258923343086365
car_max,marital_DIVORCED,0.011022496979429138
car_avg,marital_DIVORCED,0.030218838363771983
rbc_min,marital_DIVORCED,-0.024312309004696834
rbc_max,marital_DIVORCED,-0.05667296775246952
rbc_avg,marital_DIVORCED,-0.05308482450708717
pla_min,marital_DIVORCED,0.09228887828177874
pla_max,marital_DIVORCED,0.0395184892251012
pla_avg,marital_DIVORCED,0.06405987232840592
wbc_min,marital_DIVORCED,0.024711138936639516
wbc_max,marital_DIVORCED,0.0012388163730108891
wbc_avg,marital_DIVORCED,0.0091420284473019
hea_min,marital_DIVORCED,0.04320362145989306
hea_max,marital_DIVORCED,-0.012990539296039022
hea_avg,marital_DIVORCED,0.006681274892629678
mag_min,marital_DIVORCED,-0.004563140747287645
mag_max,marital_DIVORCED,-0.01550131463274595
mag_avg,marital_DIVORCED,-0.02103480823366474
res_min,marital_DIVORCED,-0.012545009292323226
res_max,marital_DIVORCED,-0.027102019029926323
res_avg,marital_DIVORCED,-0.07430802130088661
spo_min,marital_DIVORCED,0.07238097253671172
spo_max,marital_DIVORCED,0.03519577047487471
spo_avg,marital_DIVORCED,0.0552203335459505
spo_alarms,marital_DIVORCED,-0.02115201640685984
temp_min,marital_DIVORCED,-0.0008719876694036557
temp_max,marital_DIVORCED,-0.019230095103168695
temp_avg,marital_DIVORCED,-0.006654694484770044
hear_mode_1st Deg AV Block,marital_DIVORCED,-0.024273249025881596
hear_mode_A Paced,marital_DIVORCED,-0.011398904880897898
hear_mode_AV Paced,marital_DIVORCED,-0.026864527073695594
hear_mode_Atrial Fib,marital_DIVORCED,0.0016554134451964807
hear_mode_Atrial Flutter,marital_DIVORCED,-0.016138036766794137
hear_mode_Junctional,marital_DIVORCED,-0.008055865940451079
hear_mode_MultFocalAtrTach,marital_DIVORCED,-0.008055865940451075
hear_mode_Normal Sinus,marital_DIVORCED,-0.0116570878203786
hear_mode_Parox Atr Tachy,marital_DIVORCED,-0.008055865940451075
hear_mode_Sinus Brady,marital_DIVORCED,0.010639474823268623
hear_mode_Sinus Tachy,marital_DIVORCED,0.015069601856475384
hear_mode_V Paced,marital_DIVORCED,0.032645611783432525
hear_last_1st Deg AV Block,marital_DIVORCED,-0.02427324902588161
hear_last_2nd AVB Mobitz 2,marital_DIVORCED,-0.008055865940451079
hear_last_A Paced,marital_DIVORCED,-0.013968343847608915
hear_last_AV Paced,marital_DIVORCED,0.01063947482326864
hear_last_Asystole,marital_DIVORCED,-0.01833649507058779
hear_last_Atrial Fib,marital_DIVORCED,-0.011282131574664827
hear_last_Atrial Flutter,marital_DIVORCED,0.03278033094092325
hear_last_Comp Heart Block,marital_DIVORCED,-0.011398904880897905
hear_last_Idioventricular,marital_DIVORCED,-0.013968343847608925
hear_last_Junctional,marital_DIVORCED,-0.019786543485839077
hear_last_MultFocalAtrTach,marital_DIVORCED,-0.008055865940451075
hear_last_Normal Sinus,marital_DIVORCED,0.0019715239580592857
hear_last_Other/Remarks,marital_DIVORCED,-0.02287251605626795
hear_last_Sinus Brady,marital_DIVORCED,0.008162326959321176
hear_last_Sinus Tachy,marital_DIVORCED,0.017629843003272284
hear_last_Supravent Tachy,marital_DIVORCED,-0.00805586594045108
hear_last_V Paced,marital_DIVORCED,0.019087153776173135
died_immediately,marital_DIVORCED,-0.027736683162453642
age,marital_MARRIED,0.1318083749002875
gender,marital_MARRIED,-0.16236041673429932
ethnicity,marital_MARRIED,0.08469236207481004
marital_DIVORCED,marital_MARRIED,-0.247145429003317
marital_MARRIED,marital_MARRIED,1.0
marital_SEPARATED,marital_MARRIED,-0.12089275411300619
marital_SINGLE,marital_MARRIED,-0.5743616137146679
marital_WIDOWED,marital_MARRIED,-0.4737003256435503
icu_duration_hour,marital_MARRIED,0.05749777717319322
icu_times,marital_MARRIED,-0.014026523898192951
icu_times_total,marital_MARRIED,-0.00957776810426674
icu_times_sepsis,marital_MARRIED,-0.026609738750018503
icu_times_total_sepsis,marital_MARRIED,-0.026609738750018503
Comorbidity,marital_MARRIED,0.018512146060559613
glu_min,marital_MARRIED,0.0009959789559217367
glu_max,marital_MARRIED,-0.003362440705154963
glu_avg,marital_MARRIED,-0.004696646728987516
figglu_min,marital_MARRIED,-0.011491996390142149
figglu_max,marital_MARRIED,-0.000708732440427347
figglu_avg,marital_MARRIED,-0.00618850602750131
pot_min,marital_MARRIED,-0.0027816475710864524
pot_max,marital_MARRIED,0.03432236859073036
pot_avg,marital_MARRIED,0.010092190123391647
sod_min,marital_MARRIED,-0.02049993147007717
sod_max,marital_MARRIED,0.028906982967243335
sod_avg,marital_MARRIED,0.005186056408715895
hem_min,marital_MARRIED,-0.03311463979823455
hem_max,marital_MARRIED,0.01418161950542222
hem_avg,marital_MARRIED,-0.018976516409397664
chl_min,marital_MARRIED,-0.022734300067621765
chl_max,marital_MARRIED,0.012528640391100621
chl_avg,marital_MARRIED,-0.0022457549691364933
bun_min,marital_MARRIED,0.0009528512851572968
bun_max,marital_MARRIED,0.04171391346594928
bun_avg,marital_MARRIED,0.024111105302122453
cre_min,marital_MARRIED,0.020674128518572223
cre_max,marital_MARRIED,-0.026554303339567268
cre_avg,marital_MARRIED,0.005241021086691612
hemo_min,marital_MARRIED,-0.021292525130896824
hemo_max,marital_MARRIED,0.035373508199007676
hemo_avg,marital_MARRIED,0.001647013894160459
car_min,marital_MARRIED,0.003998877321836109
car_max,marital_MARRIED,0.019762804904835805
car_avg,marital_MARRIED,0.019250685232966885
rbc_min,marital_MARRIED,-0.03213893715261364
rbc_max,marital_MARRIED,0.03195309983870786
rbc_avg,marital_MARRIED,-0.008948839564255464
pla_min,marital_MARRIED,-0.05782320551370097
pla_max,marital_MARRIED,-0.007591301484945847
pla_avg,marital_MARRIED,-0.03628152925943715
wbc_min,marital_MARRIED,0.0023714716952534876
wbc_max,marital_MARRIED,0.03680233942361237
wbc_avg,marital_MARRIED,0.02414975531784309
hea_min,marital_MARRIED,-0.03060639907754028
hea_max,marital_MARRIED,0.014188771995558562
hea_avg,marital_MARRIED,-0.03881835461282617
mag_min,marital_MARRIED,0.007716869056481342
mag_max,marital_MARRIED,0.02604516852187965
mag_avg,marital_MARRIED,0.025153964450156666
res_min,marital_MARRIED,-0.022554832692353647
res_max,marital_MARRIED,0.02820501852492575
res_avg,marital_MARRIED,0.024377776659537158
spo_min,marital_MARRIED,-0.00843274919809662
spo_max,marital_MARRIED,-0.01730159244649425
spo_avg,marital_MARRIED,-0.0018852951379534643
spo_alarms,marital_MARRIED,0.03868140904888288
temp_min,marital_MARRIED,-0.04589632508316473
temp_max,marital_MARRIED,0.03116165555310308
temp_avg,marital_MARRIED,-0.013618875804867767
hear_mode_1st Deg AV Block,marital_MARRIED,-0.03417402905030369
hear_mode_A Paced,marital_MARRIED,0.04612225654695386
hear_mode_AV Paced,marital_MARRIED,0.008798226189001689
hear_mode_Atrial Fib,marital_MARRIED,0.08539534554335058
hear_mode_Atrial Flutter,marital_MARRIED,0.03229087560638101
hear_mode_Junctional,marital_MARRIED,-0.03331046704126943
hear_mode_MultFocalAtrTach,marital_MARRIED,-0.03331046704126943
hear_mode_Normal Sinus,marital_MARRIED,-0.0026651134280380783
hear_mode_Parox Atr Tachy,marital_MARRIED,-0.03331046704126942
hear_mode_Sinus Brady,marital_MARRIED,0.00790253064191988
hear_mode_Sinus Tachy,marital_MARRIED,-0.05696893684667074
hear_mode_V Paced,marital_MARRIED,-0.0321099795141197
hear_last_1st Deg AV Block,marital_MARRIED,-0.01210928480353902
hear_last_2nd AVB Mobitz 2,marital_MARRIED,-0.03331046704126943
hear_last_A Paced,marital_MARRIED,0.018426425516228105
hear_last_AV Paced,marital_MARRIED,0.04470118342904157
hear_last_Asystole,marital_MARRIED,0.05914478051671017
hear_last_Atrial Fib,marital_MARRIED,0.044585784132278074
hear_last_Atrial Flutter,marital_MARRIED,0.011547145877594468
hear_last_Comp Heart Block,marital_MARRIED,-0.0005057264972253422
hear_last_Idioventricular,marital_MARRIED,-0.019665871178754585
hear_last_Junctional,marital_MARRIED,-0.0548366410604816
hear_last_MultFocalAtrTach,marital_MARRIED,-0.03331046704126943
hear_last_Normal Sinus,marital_MARRIED,-0.00865631003268024
hear_last_Other/Remarks,marital_MARRIED,-0.0010147674314970397
hear_last_Sinus Brady,marital_MARRIED,-0.05089633803209272
hear_last_Sinus Tachy,marital_MARRIED,-0.01062934259048192
hear_last_Supravent Tachy,marital_MARRIED,0.032595650151971786
hear_last_V Paced,marital_MARRIED,-0.04264588759667105
died_immediately,marital_MARRIED,0.030575857898192088
age,marital_SEPARATED,0.008957767556211221
gender,marital_SEPARATED,0.033605676130229474
ethnicity,marital_SEPARATED,-0.07190916549244032
marital_DIVORCED,marital_SEPARATED,-0.029236930815161013
marital_MARRIED,marital_SEPARATED,-0.12089275411300619
marital_SEPARATED,marital_SEPARATED,1.0
marital_SINGLE,marital_SEPARATED,-0.06794611104393374
marital_WIDOWED,marital_SEPARATED,-0.056038032763996055
icu_duration_hour,marital_SEPARATED,-0.009923991386331687
icu_times,marital_SEPARATED,-0.008769160698123918
icu_times_total,marital_SEPARATED,-0.01799269215821819
icu_times_sepsis,marital_SEPARATED,0.01292396132619794
icu_times_total_sepsis,marital_SEPARATED,0.01292396132619794
Comorbidity,marital_SEPARATED,0.018047979173992104
glu_min,marital_SEPARATED,0.07358125833102679
glu_max,marital_SEPARATED,0.03818516746531676
glu_avg,marital_SEPARATED,0.06554957381525146
figglu_min,marital_SEPARATED,-0.02081689139600002
figglu_max,marital_SEPARATED,0.02110105092992142
figglu_avg,marital_SEPARATED,-0.010812022830922726
pot_min,marital_SEPARATED,0.06388872513488804
pot_max,marital_SEPARATED,0.004615082437832324
pot_avg,marital_SEPARATED,0.04474457319030584
sod_min,marital_SEPARATED,-0.010417232323503837
sod_max,marital_SEPARATED,-0.03509402035960837
sod_avg,marital_SEPARATED,-0.0320284814929681
hem_min,marital_SEPARATED,0.006916357387559215
hem_max,marital_SEPARATED,-0.0010087454950220658
hem_avg,marital_SEPARATED,0.008549727876261844
chl_min,marital_SEPARATED,-0.05219184697485741
chl_max,marital_SEPARATED,-0.06643670663370713
chl_avg,marital_SEPARATED,-0.06920279551074544
bun_min,marital_SEPARATED,0.02069757879722095
bun_max,marital_SEPARATED,0.028099709204897412
bun_avg,marital_SEPARATED,0.022407686935122892
cre_min,marital_SEPARATED,0.04062447592052353
cre_max,marital_SEPARATED,0.014365714877840063
cre_avg,marital_SEPARATED,0.035805699009511985
hemo_min,marital_SEPARATED,-0.005686843030493061
hemo_max,marital_SEPARATED,-0.02181152728146996
hemo_avg,marital_SEPARATED,-0.006962042000885443
car_min,marital_SEPARATED,0.05792379234454325
car_max,marital_SEPARATED,0.0409053037222796
car_avg,marital_SEPARATED,0.05201929660786079
rbc_min,marital_SEPARATED,-0.0023938792063349654
rbc_max,marital_SEPARATED,-0.013923193284384771
rbc_avg,marital_SEPARATED,-0.0011115386798032445
pla_min,marital_SEPARATED,0.02588124575009907
pla_max,marital_SEPARATED,-0.0012060421635837696
pla_avg,marital_SEPARATED,0.010589324288646713
wbc_min,marital_SEPARATED,-0.011135286213345232
wbc_max,marital_SEPARATED,-0.03322889492830359
wbc_avg,marital_SEPARATED,-0.025999513769314267
hea_min,marital_SEPARATED,-0.031932921463814046
hea_max,marital_SEPARATED,-0.014014966981818039
hea_avg,marital_SEPARATED,0.02640245152526264
mag_min,marital_SEPARATED,-0.021247744592176772
mag_max,marital_SEPARATED,-0.016275713497577112
mag_avg,marital_SEPARATED,-0.029848571210181984
res_min,marital_SEPARATED,-0.019790569298686174
res_max,marital_SEPARATED,0.022202580719123736
res_avg,marital_SEPARATED,-0.019509547689188802
spo_min,marital_SEPARATED,-0.015587479445797282
spo_max,marital_SEPARATED,-0.013670925565749387
spo_avg,marital_SEPARATED,0.0055811379781957405
spo_alarms,marital_SEPARATED,0.003660584431012171
temp_min,marital_SEPARATED,0.019170954097212325
temp_max,marital_SEPARATED,-0.012067941564613128
temp_avg,marital_SEPARATED,0.00986078515840212
hear_mode_1st Deg AV Block,marital_SEPARATED,-0.01187341371371386
hear_mode_A Paced,marital_SEPARATED,-0.0055758466198678695
hear_mode_AV Paced,marital_SEPARATED,-0.013140953805942698
hear_mode_Atrial Fib,marital_SEPARATED,0.007596983433715466
hear_mode_Atrial Flutter,marital_SEPARATED,-0.007894023039724182
hear_mode_Junctional,marital_SEPARATED,-0.003940577918975894
hear_mode_MultFocalAtrTach,marital_SEPARATED,-0.003940577918975893
hear_mode_Normal Sinus,marital_SEPARATED,-0.03885673439376034
hear_mode_Parox Atr Tachy,marital_SEPARATED,-0.003940577918975895
hear_mode_Sinus Brady,marital_SEPARATED,-0.014301430143014294
hear_mode_Sinus Tachy,marital_SEPARATED,0.0441751249187891
hear_mode_V Paced,marital_SEPARATED,0.028727249158336136
hear_last_1st Deg AV Block,marital_SEPARATED,-0.011873413713713853
hear_last_2nd AVB Mobitz 2,marital_SEPARATED,-0.003940577918975897
hear_last_A Paced,marital_SEPARATED,-0.006832703987061186
