,diagnosis,num
315,COLON CA/SDA,16
316,STROKE;TRANSIENT ISCHEMIC ATTACK,16
317,R/O MYOCARDIAL INFARCTION,15
318,ETOH WITHDRAWL,15
319,RIGHT HIP FRACTURE,15
320,ACUTE RENAL FAILURE;TELEMETRY,15
321,PNEUMONIA;CONGESTIVE HEART FAILURE,15
322,CARDIAC TAMPONADE,15
323,CORONARY ARTERY DISEASE;AORTIC STENOSIS,15
324,PANCREATIC PSEUDOCYST,15
325,STEMI\CARDIAC CATH,15
326,MULTIPLE MYELOMA\BONE MARROW TRANSPLANT,15
327,ALLERGIC REACTION,15
328,INCARCERATED HERNIA,14
329,BREAST CANCER/SDA,14
330,MYASTHENIA GRAVIS,14
331,STROKE;TELEMETRY;TELEMETRY,14
332,SKULL FRACTURE,14
333,ASTHMA-COPD EXACERBATION,14
334,SHOCK,14
335,MVA,14
336,ACUTE CHOLECYSTITIS,14
337,CEREBELLAR HEMORRHAGE,14
338,LEFT HIP FRACTURE,14
339,CHIARI MALFORMATION/SDA,14
340,PANCREATIC MASS,14
341,PERICARDIAL TAMPONADE,14
342,AORTIC DISECTION,14
343,EPISTAXIS,14
344,PERIPHERAL VASCULAR DISEASE,14
345,ABD PAIN,14
346,RECTAL BLEEDING,14
347,EMPYEMA,14
348,ST-SEGMENT ELEVATION MYOCARDIAL INFARCTION\CATH,13
349,CARDIOMYOPATHY,13
350,CORONARY ARTERY DISEASE/SDA,13
351,COLON CANCER/SDA,13
352,CEREBROVASCULAR ACCIDENT;TELEMETRY,13
353,SUBDURAL HEMATOMA/SDA,13
354,SPINAL CORD INJURY,13
355,PULMONARY EDEMA\CATH,13
356,METASTATIC MELANOMA,13
357,OSTEOMYELITIS,13
358,RENAL CA/SDA,13
359,LOWER GI BLEED;TELEMETRY,13
360,AORTIC STENOSIS;CORONARY ARTERY DISEASE,13
361,DRUG OVERDOSE,13
362,RENAL CANCER/SDA,13
363,MYOCARDIAL INFARCT,13
364,HYPOTENSION;TELEMETRY,13
365,S/P MI,12
366,BILE LEAK,12
367,CORD COMPRESSION,12
368,ABDOMINAL PAIN;TELEMETRY,12
369,NEUTROPENIA,12
370,CORONARY ARTERY DISEASE\LEFT HEART CATHETERIZATION,12
371,HYPERNATREMIA,12
372,CORONARY ARTERY DISEASE;+ETT\CATH,12
373,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT;AORTIC VALVE REPLACEMENT/SDA,12
374,RECTAL CANCER/SDA,12
375,MEDIASTINAL MASS,12
376,ISCHEMIC FOOT,12
377,MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT /SDA,12
378,NEUTROPENIC FEVER,12
379,HEMORRHAGIC STROKE,12
380,NECK MASS,12
381,CHEST PAIN\LEFT HEART CATHETERIZATION,12
382,MI,12
383,PYELONEPHRITIS,12
384,R/O SEPSIS,12
385,S/P TRAUMA,12
386,RIGHT BREAST CANCER/SDA,12
387,SPONTANEOUS BACTERIAL PERITONITIS,12
388,GASTROPARESIS,12
389,CONGESTIVE HEART FAILURE\Transcatheter Aortic Valve Implant (TAVI) with Pump Stand-by (CoreValve) ,12
390,ARDS,12
391,CONGESTIVE HEART FAILURE EXACERBATION,12
392,UGIB,12
393,THORACIC AORTIC ANEURYSM,11
394,SEVERE HYPERTROPHIC CARDIOMYOPATHY\SEPTAL ETHANOL ABLATION,11
395,LUNG MASS,11
396,CONGESTIVE HEART FAILURE;AORTIC STENOSIS,11
397,C1 FRACTURE,11
398,ISCHEMIC COLITIS,11
399,CONGESTIVE HEART FAILURE;HYPOTENSION,11
400,CEREBELLAR BLEED,11
401,SUBARACHNOID BLEED,11
402,TAMPONADE,11
403,AORTIC VALVE INSUFFICIENCY\AORTIC VALVE REPLACEMENT /SDA,11
404,V TACH,11
405,NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION\CARDIAC CATH,11
406,HEPATOCELLULAR CARCINOMA/SDA,11
407,CORONARY ARTERY DISEASE;TELEMETRY,11
408,VTACH,11
409,MELENA,11
410,STRIDOR,11
411,ST-SEGMENT ELEVATION MYOCARDIAL INFARCTION\CARDIAC CATH,11
412,MITRAL VALVE DISORDER\MITRAL VALVE REPLACEMENT /SDA,11
413,ST ELEVATION MYOCARDIAL INFARCTION,11
414,CHOLEDOCHOLITHIASIS,11
415,EPILEPSY/SDA,11
416,GASTROINTESTINAL BLEEDING,11
417,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,11
418,CHEST PAIN/CATH,11
419,DYSPNEA;TELEMETRY,11
420,PANCYTOPENIA,11
421,SUPRAVENTRICULAR TACHYCARDIA,11
422,SHORTNESS OF BREATH;TELEMETRY,11
423,RAPID AFIB,11
424,RASH,11
425,LUNG CA,11
426,ULCERATIVE COLITIS,11
427,NAUSEA;VOMITING,11
428,KIDNEY TRANSPLANT,11
429,RIGHT HIP OA/SDA,10
430,TRACHEOBRONCHIAL MALACIA,10
431,FEVER;NEUTROPENIA,10
432,ENTEROCUTANEOUS FISTULA,10
433,TRACHEOBRONCHIOMALACIA/SDA,10
434,SUBARACHNOID HEMORRHAGE;ACUTE SUBDURAL HEMATOMA,10
435,CARDIAC CATH,10
436,ANGINA;+ETT\CATH,10
437,ACUTE STROKE,10
438,CROHN'S DISEASE/SDA,10
439,NEW BRAIN MASS,10
440,ESOPHAGEAL FOREIGN BODY,10
441,ESOPHAGEAL PERFORATION,10
442,ACUTE SUBDURAL HEMATOMA;TELEMETRY,10
443,RAPID A-FIB,10
444,CORONARY ARTERY DISEASE\LEFT HEART CATH,10
445,CAROTID STENOSIS\CAROTID ANGIOGRAM AND STENT,10
446,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH AVR ,10
447,HYPOKALEMIA,10
448,RHABDOMYOLYSIS,10
449,GANGRENE,10
450,INTOXICATION,10
451,AICD FIRING,10
452,AORTIC STENOSIS\AORTIC VALVE REPLACEMENT,10
453,CHEST PAIN;CORONARY ARTERY DISEASE\CATH,10
454,CERVICAL SPINE FRACTURE,10
455,AIRWAY OBSTRUCTION/SDA,10
456,PANCREAS TRANSPLANT,10
457,RIGHT RENAL MASS/SDA,10
458,RUPTURED AAA,10
459,CLOSED HEAD INJURY,10
460,ADULT RESPIRATORY DISTRESS SYNDROME,10
461,AAA,9
462,INTRAVENTRICULAR HEMORRHAGE,9
463,ATRIAL FIBRILLATION\PHARMACOLOGICAL / NON PHARM MGMT AFIB ABLATION  **REMOTE WEST**/SDA,9
464,MR\MITRAL VALVE REPLACEMENT; HEART PORT MINIMALLY INVASIVE/SDA,9
465,CHEST PAIN;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,9
466,AORTIC INSUFFICIENCY\AORTIC VALVE REPLACEMENT /SDA,9
467,ASCENDING CHOLANGITIS,9
468,ANEMIA;TELEMETRY,9
469,PULMONARY EMBOLIS;TELEMETRY,9
470,INFERIOR MYOCARDIAL INFARCTION,9
471,AORTIC STENOSIS\CORONARY ARTERY BYPASS GRAFT WITH AVR ,9
472,SEPSIS;PNEUMONIA,9
473,OVARIAN CANCER/SDA,9
474,TRACHEAL OBSTRUCTION,9
475,TYPE A DISSECTION,9
476,"FEVER,ETIOLOGY UNKNOWN",9
477,CEREBRAL HEMORRHAGE,9
478,LIVER FAILURE;RENAL FAILURE,9
479,THORACIC ANEURYSM,9
480,S/P HANGING,9
481,PERITONITIS,9
482,PNEUMONIA;CHRONIC OBST PULM DISEASE,9
483,CORONARY ARTERY DISEASE\STENT PLACEMENT,9
484,CORONARY ARTERY DISEASE;CHEST PAIN,9
485,S/P MVC,9
486,ATRIAL FIBRILLATION;TELEMETRY,9
487,LITHIUM TOXICITY,9
488,STABBING,9
489,ABDOMINAL ABCESS,9
490,PERFORATED DIVERTICULITIS,9
491,LEG PAIN,9
492,HYPOXIA;TELEMETRY,9
493,AORTIC VALVE DISORDER\AORTIC VALVE REPLACEMENT /SDA,9
494,HEPATORENAL SYNDROME,9
495,CAROTID ARTERY STENOSIS\CAROTID ANGIOGRAM,9
496,AMPULLARY MASS/SDA,9
497,DYSPHAGIA,9
498,PROSTATE CA/SDA,9
499,WITHDRAWAL,9
500,ANKLE FRACTURE,9
501,PROSTATE CANCER/SDA,9
502,S/P STABBING,9
503,POLYSUBSTANCE OVERDOSE,9
504,INTRAPARENCHYMAL BLEED,9
505,ACUTE RESPIRATORY DISTRESS SYNDROME,9
506,AMS,9
507,MULTI TRAUMA,9
508,HIP PAIN,9
509,CHEST PAIN\CARDIAC CATHETERIZATION,9
510,CENTRAL AIRWAY OBSTRUCTION,9
511,NORMAL PREGNANCY,9
512,UTI;PYELONEPHRITIS,8
513,NEAR DROWNING,8
514,+ETT;CORONARY ARTERY DISEASE\CATH,8
515,BILE DUCT INJURY,8
516,ESOPHAGEAL VARICES,8
517,ARRYTHMIA,8
518,UNSTABLE ANGINA;TELEMETRY,8
519,RECTAL PROLAPSE,8
520,V-FIB ARREST,8
521,V-TACH,8
522,S/P MOTOR VEHICLE ACCIDEMT,8
523,LIVER TX,8
524,LEFT LUNG CA/SDA,8
525,ARRHYTHMIA,8
526,CERVICAL STENOSIS/SDA,8
527,R/O STROKE,8
528,MYOCARDIAL INFARCTION/CATH,8
529,PAIN CONTROL,8
530,LEFT HIP OA/SDA,8
531,CHF,8
532,ULCERATIVE COLITIS CHRONIC/SDA,8
533,DKA,8
534,PANCREATIC CA/SDA,8
535,POLY TRAUMA,8
536,INTERSTITIAL LUNG DISEASE,8
537,INTRA CRANIAL HEMORRHAGE,8
538,ST ELEVATED MYOCARDIAL INFARCTION\CARDIAC CATH,8
539,CHEST PAIN;RULE-OUT MYOCARDIAL INFARCTION,8
540,ENDOMETRIAL CANCER/SDA,8
541,MENINGIOMA,8
542,OVARIAN CANCER,8
543,LETHARGY,8
544,EPIGLOTTITIS,8
545,CRF/SDA,8
546,PULMONARY HYPERTENSION,8
547,"URINARY TRACT INFECTION,PYELONEPHRITIS",8
548,CARDIOMYOPATHY\CATH,8
549,HEMOPERITONEUM,8
550,HYPERCARBIC RESPIRATORY FAILURE,8
551,3RD DEGREE HEART BLOCK,8
552,MITRAL VALVE DISEASE,8
553,PELVIC FX,8
554,CEREBELLAR MASS,8
555,HIP FX,8
556,OBSTRUCTIVE JAUNDICE,8
557,FEVERS,8
558,HERNIA,8
559,LEFT RENAL MASS/SDA,8
560,PERFORATED DUODENUM,8
561,OBSTRUCTION,8
562,SDH,8
563,CORONARY ARTERY DISEASE;CHEST PAIN\CATH,8
564,HYPERCALCEMIA,8
565,CONFUSION,8
566,ACUTE MYELOGENOUS LEUKEMIA,8
567,ISCHEMIC LEFT FOOT,8
568,RETROPERITONEAL HEMATOMA,8
569,SUBDURAL HEMATOMA;TELEMETRY,8
570,PERICARDIAL EFFUSION\PERICARDIAL TAP,8
571,NON-Q-WAVE MYOCARDIAL INFARCTION\CARDIAC CATH,8
572,ALCOHOL INTOXICATION,8
573,VENTRICULAR TACHYCARDIA\VENTRICULAR TACHYCARDIA ABLATION,8
574,THALAMIC BLEED,7
575,UNRESPONSIVENESS,7
576,KYPHOSIS/SDA,7
577,RIB FRACTURES,7
578,INTRAVENTRICULAR BLEED,7
579,CONSTIPATION,7
580,PED STRUCK,7
581,OVARIAN CA/SDA,7
582,PANCREATIC CANCER/SDA,7
583,"MR\MITRAL VALVE REPLACEMENT,HEART PORT MINIMALLY INVASIVE /SDA",7
584,PANCREATIC FISTULA,7
585,SYNCOPE;TELEMETRY;TELEMETRY,7
586,PERICARDIAL EFFUSION\CATH,7
587,SEIZURE;TELEMETRY,7
588,COLON CANCER,7
589,ST ELEVATION MI\CATH,7
590,TRACHEOBRONCHOMALACIA,7
591,FOREIGN BODY IN ESOPHAGUS,7
592,ASPIRATION,7
593,S/P VFIB ARREST,7
594,RIGHT KNEE OA/SDA,7
595,NON ST ELEVATION MYOCARDIAL INFARCTION\CARDIAC CATHETERIZATION,7
596,RIGHT LUNG CA/SDA,7
597,POST ARREST,7
598,MITRAL STENOSIS\MITRAL VALVE REPLACEMENT ,7
599,STATUS ASTHMATICUS,7
600,COMMON BILE DUCT STONE,7
601,CONGESTIVE HEART FAILURE;CHRONIC OBST PULM DISEASE,7
602,AORTIC VALVE DISEASE\CATH,7
603,AORTIC VALVE DISEASE,7
604,EKG CHANGES,7
605,SPLENIC RUPTURE,7
606,OVERDOSE;TELEMETRY,7
607,PANCREATIC CANCER,7
608,MULTIPLE STAB WOUNDS,7
609,PNEUMONIA;HYPOTENSION,7
610,NON ST ELEVATION MYOCARDIAL INFARCTION,7
611,VOLVULUS,7
612,NAUSEA-VOMITING,7
613,ESOPHAGEAL OBSTRUCTION,7
614,CHEST PAIN/ CATH,7
615,FOUND DOWN,7
616,CORONARY ARTERY DISEASE;MITRAL REGURGITATION,7
617,GALLSTONES,7
618,AORTIC STENOSIS\CARDIAC CATH,7
619,ALCOHOL WITHDRAWL,7
620,PLEURAL EFFUSION/SDA,7
621,AORTIC STENOSIS\AORTIC AND MITRAL VALVE REPLACEMENT /SDA,7
622,LGIB,7
623,LEFT FEMUR FRACTURE,7
624,GASTRIC CANCER/SDA,7
625,STROKE;TRANSIENT ISCHEMIC ATTACK (TIA),7
626,INTRACRANIAL HEMMORHAGE,7
627,CORONARY ARTERY DISEASE;CP,7
628,RESP DISTRESS,7
629,ETOH CIRRHOSIS,7
630,CHRONIC OBST PULM DISEASE;CONGESTIVE HEART FAILURE,7
631,RIGHT UPPER LOBE NODULE/SDA,7
632,LUMBAR SPONDYLOSIS/SDA,7
633,INFECTED GRAFT,7
634,THORACIC DISSECTION,7
635,C SPINE FRACTURE,7
636,"CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT, RE-DO/SDA",7
637,PEA ARREST,7
638,SUBGLOTTIC STENOSIS,7
639,SPINAL MASS,7
640,CERVICAL MYELOPATHY/SDA,7
641,CHEST PAIN;CORONARY ARTERY DISEASE,7
642,ACIDOSIS,7
643,VT,7
644,FACIAL TRAUMA,7
645,AORTIC STENOSIS\AORTIC VALVE REPLACEMENT REDO /SDA,7
646,LUNG MASS/SDA,7
647,ESOPHAGEAL CANCER,7
648,ACUTE MYOCARDIAL INFARCTION;TELEMETRY,7
649,INTRAPARANCHYMAL HEMORRHAGE,6
650,AFIB,6
651,AORTIC STENOSIS\AORTIC VALVE / ASCENDING AORTA REPLACEMENT /SDA,6
652,INFECTION,6
653,STE MYOCARDIAL INFARCTION,6
654,INTERCRANIAL BLEED,6
655,STROKE;TELEMETRY; TIA,6
656,ARTERIAL OCCLUSION,6
657,APNEA,6
658,INTRAPARENCHYMAL HEMORRHAGE;TELEMETRY,6
659,AORTIC STENOSIS\Transcatheter Aortic Valve Implant (TAVI) with Pump Stand-by (CoreValve) ,6
660,AORTIC STENOSIS\BENTALL PROCEDURE/SDA,6
661,INGESTION,6
662,SYMPTOMATIC FIBROID UTERUS/SDA,6
663,INTER CRANIAL HEMORRHAGE,6
664,THROMBOTIC THROMBOCYTOPENIC PUPURA,6
665,MITRAL VALVE INSUFFICENCY\MITRAL VALVE REPLACEMENT /SDA,6
666,AORTIC STENOSIS\RIGHT AND LEFT HEART CATH,6
667,TYPE B AORTIC DISSECTION,6
668,SUICIDAL IDEATION,6
669,ANTERIOR MI,6
670,TRACHEOMALACIA,6
671,STATUS POST MOTORVEHICLE ACCIDENT,6
672,CHEST PAIN\LEFT HEART CATH,6
